# for gnuplot plotting
##     # results d=1             d=2                   d=3
0      2.0040816326531585        4.008163265306193    8.565444482877865 
6      6.0                      6.0                   8.565444482877865
7      7.0                      7.0                   8.565444482877865
0      3.0061224489796565       6.0061224489794895    8.565444482877865
6      6.0                      6.0061224489794895    8.565444482877865
8      8.0                      8.0                   8.565444482877865
3      5.818078552175566        7.3787190347836935    8.565444482877865
3      5.818078552175566        7.3787190347836935    8.565444482877865
6      6.0                      7.3787190347836935    8.565444482877865
6      6.0                      7.3787190347836935    8.565444482877865
7      7.0                      7.3787190347836935    8.565444482877865
6      6.999999999999982        7.3787190347836935    8.565444482877865
8      8.0                      8.0                   8.565444482877865
6      6.0                      7.590670146465265     8.565444482877865
3      5.486685661549252        7.590670146465265     8.565444482877865
4      5.486685661549252        7.590670146465265     8.565444482877865
7      7.0                      7.590670146465265     8.565444482877865
7      7.0                      7.590670146465265     8.565444482877865
7      7.0                      7.590670146465265     8.565444482877865
6      6.999999999999888        7.590670146465265     8.565444482877865
7      7.0                      7.590670146465265     8.565444482877865
2      5.003974754909639        7.590670146465265     8.565444482877865
5      5.003974754909639        7.590670146465265     8.565444482877865
6      6.0                      7.590670146465265     8.565444482877865
5      5.99999999999992         7.590670146465265     8.565444482877865
4      5.99999999999992         7.590670146465265     8.565444482877865
4      5.99999999999992         7.590670146465265     8.565444482877865
7      7.0                      7.590670146465265     8.565444482877865
4      5.999999999999901        7.590670146465265     8.565444482877865
2      5.999999999999901        7.590670146465265     8.565444482877865
6      6.0                      7.590670146465265     8.565444482877865
0      5.699951451749299        7.590670146465265     8.565444482877865
5      5.699951451749299        7.590670146465265     8.565444482877865
7      7.0                      7.590670146465265     8.565444482877865
7      7.0                      7.590670146465265     8.565444482877865
4      6.9999999999999005       7.590670146465265     8.565444482877865
7      7.0                      7.590670146465265     8.565444482877865
7      7.0                      7.590670146465265     8.565444482877865
7      7.0                      7.590670146465265     8.565444482877865
7      7.0                      7.590670146465265     8.565444482877865
8      8.0                      8.0                   8.565444482877865
7      7.0                      7.999999999999747     8.565444482877865
6      6.999999999999967        7.999999999999747     8.565444482877865
6      6.999999999999967        7.999999999999747     8.565444482877865
6      6.999999999999967        7.999999999999747     8.565444482877865
7      7.0                      7.999999999999747     8.565444482877865
7      7.0                      7.999999999999747     8.565444482877865
0      6.0309410802873265       7.999999999999747     8.565444482877865
6      6.0309410802873265       7.999999999999747     8.565444482877865
5      6.0309410802873265       7.999999999999747     8.565444482877865
7      7.0                      7.999999999999747     8.565444482877865
4      6.999999999999967        7.999999999999747     8.565444482877865
8      8.0                      8.0                   8.565444482877865
8      8.0                      8.0                   8.565444482877865
6      7.999999999999909        7.9999999999999       8.565444482877865
7      7.999999999999909        7.9999999999999       8.565444482877865
8      8.0                      8.0                   8.565444482877865
6      7.999999999999909        7.9999999999999       8.565444482877865
7      7.999999999999909        7.9999999999999       8.565444482877865
9      9.0                      9.0                   9.0  
5      5.944220257736139        6.310752412377963     8.275447660948423
4      5.944220257736139        6.310752412377963     8.275447660948423
6      6.0                      6.310752412377963     8.275447660948423
1      2.733064309283389        6.310752412377963     8.275447660948423
8      8.0                      8.0                   8.275447660948423
3      3.804457006987506        5.1089140139751335    8.275447660948423
2      3.804457006987506        5.1089140139751335    8.275447660948423
8      8.0                      8.0                   8.275447660948423
2      4.513755504537191        7.134768195661386     8.275447660948423
3      4.513755504537191        7.134768195661386     8.275447660948423
6      6.0                      7.134768195661386     8.275447660948423
7      7.0                      7.134768195661386     8.275447660948423
4      6.876793577910265        7.134768195661386     8.275447660948423
7      7.0                      7.134768195661386     8.275447660948423
8      8.0                      8.0                   8.275447660948423
4      5.420535378279001        7.184703641662955     8.275447660948423
1      5.420535378279001        7.184703641662955     8.275447660948423
5      5.420535378279001        7.184703641662955     8.275447660948423
5      5.420535378279001        7.184703641662955     8.275447660948423
5      5.420535378279001        7.184703641662955     8.275447660948423
7      7.0                      7.184703641662955     8.275447660948423
7      7.0                      7.184703641662955     8.275447660948423
5      6.614244748044321        7.184703641662955     8.275447660948423
5      6.614244748044321        7.184703641662955     8.275447660948423
8      8.0                      8.0                   8.275447660948423
7      7.0                      7.819299779063307     8.275447660948423
4      5.253074392424293        7.819299779063307     8.275447660948423
3      5.253074392424293        7.819299779063307     8.275447660948423
7      7.0                      7.819299779063307     8.275447660948423
5      6.9999999999999          7.819299779063307     8.275447660948423
7      7.0                      7.819299779063307     8.275447660948423
6      6.9999999999998          7.819299779063307     8.275447660948423
4      6.9999999999998          7.819299779063307     8.275447660948423
6      6.9999999999998          7.819299779063307     8.275447660948423
6      6.9999999999998          7.819299779063307     8.275447660948423
6      6.9999999999998          7.819299779063307     8.275447660948423
9      9.0                      9.0                   9.0  
9      9.0                      9.0                   9.0  
6      6.0                      7.320809813974996     8.409786149533938
1      4.8114171744562855       7.320809813974996     8.409786149533938
5      5.0                      7.320809813974996     8.409786149533938
7      7.0                      7.320809813974996     8.409786149533938
5      6.905708587228091        7.320809813974996     8.409786149533938
7      7.0                      7.320809813974996     8.409786149533938
5      6.905708587228091        7.320809813974996     8.409786149533938
9      9.0                      9.0                   9.0  
3      4.976315775891621        6.270175402377373     7.816541330099931
6      6.0                      6.270175402377373     7.816541330099931
0      1.9763157758916208       6.270175402377373     7.816541330099931
7      7.0                      7.0                   7.816541330099931
6      6.317543850594409        6.999999999999894     7.816541330099931
5      6.317543850594409        6.999999999999894     7.816541330099931
4      6.317543850594409        6.999999999999894     7.816541330099931
8      8.0                      8.0                   8.0  
0      3.0819548522923923       6.202631551783221     7.673684187242789
5      5.0                      6.202631551783221     7.673684187242789
4      4.999999999999978        6.202631551783221     7.673684187242789
4      4.999999999999978        6.202631551783221     7.673684187242789
7      7.0                      7.0                   7.673684187242789
3      5.82330825127389         6.999999999999948     7.673684187242789
7      7.0                      7.0                   7.673684187242789
9      9.0                      9.0                   9.0  
6      7.167084359753592        7.99999999999997      8.799354817065959
6      7.167084359753592        7.99999999999997      8.799354817065959
5      7.167084359753592        7.99999999999997      8.799354817065959
6      7.167084359753592        7.99999999999997      8.799354817065959
6      7.167084359753592        7.99999999999997      8.799354817065959
5      7.167084359753592        7.99999999999997      8.799354817065959
6      7.167084359753592        7.99999999999997      8.799354817065959
6      7.167084359753592        7.99999999999997      8.799354817065959
7      7.167084359753592        7.99999999999997      8.799354817065959
7      7.167084359753592        7.99999999999997      8.799354817065959
7      7.167084359753592        7.99999999999997      8.799354817065959
6      7.167084359753592        7.99999999999997      8.799354817065959
6      7.167084359753592        7.99999999999997      8.799354817065959
8      8.0                      8.0                   8.799354817065959
5      5.164720420728629        7.165232926813085     8.799354817065959
4      5.164720420728629        7.165232926813085     8.799354817065959
3      5.164720420728629        7.165232926813085     8.799354817065959
5      5.164720420728629        7.165232926813085     8.799354817065959
2      5.164720420728629        7.165232926813085     8.799354817065959
7      7.0                      7.165232926813085     8.799354817065959
9      9.0                      9.0                   9.0  
5      6.5687014031875135       7.999999999999975     8.13740280637505 
8      8.0                      8.0                   8.13740280637505 
6      6.523986295817774        7.158796970180005     8.13740280637505 
6      6.523986295817774        7.158796970180005     8.13740280637505 
5      6.523986295817774        7.158796970180005     8.13740280637505 
4      6.523986295817774        7.158796970180005     8.13740280637505 
7      7.0                      7.158796970180005     8.13740280637505 
2      4.616982606230333        7.158796970180005     8.13740280637505 
4      4.616982606230333        7.158796970180005     8.13740280637505 
6      6.0                      7.158796970180005     8.13740280637505 
5      5.116982606230333        7.158796970180005     8.13740280637505 
2      5.116982606230333        7.158796970180005     8.13740280637505 
7      7.0                      7.158796970180005     8.13740280637505 
6      6.9999999999999005       7.158796970180005     8.13740280637505 
7      7.0                      7.158796970180005     8.13740280637505 
6      6.0                      7.158796970180005     8.13740280637505 
6      6.0                      7.158796970180005     8.13740280637505 
0      5.606635041631134        7.158796970180005     8.13740280637505 
5      5.606635041631134        7.158796970180005     8.13740280637505 
4      5.606635041631134        7.158796970180005     8.13740280637505 
8      8.0                      8.0                   8.13740280637505 
8      8.0                      8.0                   8.13740280637505 
6      6.0                      6.196262507035485     8.13740280637505 
5      5.0                      6.196262507035485     8.13740280637505 
2      3.79890399059802         6.196262507035485     8.13740280637505 
1      3.79890399059802         6.196262507035485     8.13740280637505 
2      3.79890399059802         6.196262507035485     8.13740280637505 
7      7.0                      7.0                   8.13740280637505 
5      6.356878297047134        6.999999999999963     8.13740280637505 
6      6.356878297047134        6.999999999999963     8.13740280637505 
